"","date","RUA.Adjusted"
"430",2021-09-15,2656.02001953125
"431",2021-09-16,2653.97998046875
"432",2021-09-17,2633.46997070312
"433",2021-09-20,2586.92993164062
"434",2021-09-21,2586.44995117188
"435",2021-09-22,2612.34008789062
"436",2021-09-23,2644.60009765625
"437",2021-09-24,2645.8798828125
"438",2021-09-27,2641.5
"439",2021-09-28,2586.10009765625
"440",2021-09-29,2587.98999023438
"441",2021-09-30,2559.71997070312
"442",2021-10-01,2589.830078125
"443",2021-10-04,2555.06005859375
"444",2021-10-05,2580.47998046875
"445",2021-10-06,2589.86010742188
"446",2021-10-07,2614.30004882812
"447",2021-10-08,2607.10009765625
"448",2021-10-11,2589.52001953125
"449",2021-10-12,2587.93994140625
"450",2021-10-13,2598.63989257812
"451",2021-10-14,2641.9599609375
"452",2021-10-15,2658.13989257812
"453",2021-10-18,2667.5
"454",2021-10-19,2685.919921875
"455",2021-10-20,2696.32006835938
"456",2021-10-21,2705.77001953125
"457",2021-10-22,2701.86010742188
"458",2021-10-25,2715.419921875
"459",2021-10-26,2716.71997070312
"460",2021-10-27,2696.61010742188
"461",2021-10-28,2725.93994140625
"462",2021-10-29,2730.64990234375
"463",2021-11-01,2742.73999023438
"464",2021-11-02,2750.6298828125
"465",2021-11-03,2770.92993164062
"466",2021-11-04,2779.7900390625
"467",2021-11-05,2790.56005859375
"468",2021-11-08,2794.6201171875
"469",2021-11-09,2785.55004882812
"470",2021-11-10,2758.11010742188
"471",2021-11-11,2761.92993164062
"472",2021-11-12,2781.43994140625
"473",2021-11-15,2780.2900390625
"474",2021-11-16,2791.56005859375
"475",2021-11-17,2780.27001953125
"476",2021-11-18,2785.05004882812
"477",2021-11-19,2777.60009765625
"478",2021-11-22,2764.51000976562
"479",2021-11-23,2765.86010742188
"480",2021-11-24,2773.75
"481",2021-11-26,2709.72998046875
"482",2021-11-29,2739.7900390625
"483",2021-11-30,2685.5400390625
"484",2021-12-01,2646.44995117188
"485",2021-12-02,2688.85009765625
"486",2021-12-03,2660.0400390625
"487",2021-12-06,2692.5
"488",2021-12-07,2750.22998046875
"489",2021-12-08,2762.09008789062
"490",2021-12-09,2735.65991210938
"491",2021-12-10,2755.38989257812
"492",2021-12-13,2729.21997070312
"493",2021-12-14,2707.5400390625
"494",2021-12-15,2751.18994140625
"495",2021-12-16,2722.7900390625
"496",2021-12-17,2703.69995117188
"497",2021-12-20,2670.68994140625
"498",2021-12-21,2724.05004882812
"499",2021-12-22,2750.51000976562
"500",2021-12-23,2768.36010742188
"501",2021-12-27,2803.73999023438
"502",2021-12-28,2798.35009765625
"503",2021-12-29,2801.8701171875
"504",2021-12-30,2795.90991210938
"505",2021-12-31,2788.13989257812
"506",2022-01-03,2804.92993164062
"507",2022-01-04,2800.40991210938
"508",2022-01-05,2739.34008789062
"509",2022-01-06,2739.19995117188
"510",2022-01-07,2725.60009765625
"511",2022-01-10,2721.6201171875
"512",2022-01-11,2748.59008789062
"513",2022-01-12,2752.63989257812
"514",2022-01-13,2712.90991210938
"515",2022-01-14,2714.169921875
"516",2022-01-18,2660.81005859375
"517",2022-01-19,2633.86010742188
"518",2022-01-20,2603.06005859375
"519",2022-01-21,2552.5400390625
"520",2022-01-24,2565.94995117188
"521",2022-01-25,2531.3798828125
"522",2022-01-26,2523.6298828125
"523",2022-01-27,2505.65991210938
"524",2022-01-28,2566.7900390625
"525",2022-01-31,2621.96997070312
"526",2022-02-01,2642.22998046875
"527",2022-02-02,2659.22998046875
"528",2022-02-03,2594.10009765625
"529",2022-02-04,2610.65991210938
"530",2022-02-07,2603.57006835938
"531",2022-02-08,2627.81005859375
"532",2022-02-09,2669.32006835938
"533",2022-02-10,2622.47998046875
"534",2022-02-11,2573.78002929688
"535",2022-02-14,2563.3798828125
"536",2022-02-15,2608.32006835938
"537",2022-02-16,2609.21997070312
"538",2022-02-17,2550.96997070312
"539",2022-02-18,2530.7099609375
"540",2022-02-22,2503.7099609375
"541",2022-02-23,2456.30004882812
"542",2022-02-24,2498.94995117188
"543",2022-02-25,2555.47998046875
